Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P4,Reactome_Pathways_2024,gs_ind_0,Senescence-Associated Secretory Phenotype (SASP),1/52,0.17406277381902974,0.25039963497291945,7.937698199736547,13.877789521683125,CDK6
P4,Reactome_Pathways_2024,gs_ind_0,Sensory Perception,1/196,0.5145753255082592,0.5411912906207554,2.0799007826858076,1.3819138033475389,GPC4
P4,Reactome_Pathways_2024,gs_ind_0,Separation of Sister Chromatids,1/168,0.461605380801754,0.49523994372449487,2.430105752643816,1.8785808755688251,STAG1
P4,Reactome_Pathways_2024,gs_ind_0,Signal Transduction by L1,1/21,0.07428244681570347,0.1841620329441778,19.96384360828533,51.90360975057245,FGFR1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by ALK Fusions and Activated Point Mutants,1/87,0.2739668544992329,0.32677052198651524,4.71981293751997,6.110969063971938,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by ALK in Cancer,1/87,0.2739668544992329,0.32677052198651524,4.71981293751997,6.110969063971938,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Activated Point Mutants of FGFR1,1/11,0.03961726211805212,0.1562261167239165,38.99138549892319,125.88331156809635,FGFR1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Activin,1/16,0.0571075553965845,0.17712745766275345,26.40865618414654,75.60319879037347,TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by BMP,1/31,0.10770844937287086,0.20350224726644184,13.413378367246066,29.88939646374393,TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by EGFR,1/53,0.17709763410262688,0.25039963497291945,7.7862167982771,13.478362460655353,PTPRK
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by ERBB4,1/57,0.1891270689518711,0.25637224902364747,7.233912927469205,12.046896829454685,ESR1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by FGFR,4/85,0.0002745856204506427,0.016854612876428695,15.498172224164787,127.08884697321928,FGFR1;SPRED2;TGFBR3;RBFOX2
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by FGFR in Disease,1/61,0.20098238691296091,0.26652012177588297,6.754640973462353,10.838078132200403,FGFR1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by FGFR1,3/50,0.0008277590094501677,0.029454424752935134,20.495924426450742,145.4552407118088,FGFR1;SPRED2;TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by FGFR1 in Disease,1/37,0.12718755619754754,0.2155122480014,11.205961313416397,23.107728348226125,FGFR1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by FGFR2,1/71,0.2298752076552973,0.2956527520144938,5.794397519512456,8.519031546226,RBFOX2
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by GPCR,5/617,0.07683259856969155,0.18739769309165782,2.4969377070199807,6.407457440401471,AVPR1A;PLCB1;VAV3;KALRN;RGS7
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Hedgehog,2/133,0.08585613809033389,0.19295037349775038,5.218293412595781,12.81133925257108,BOC;GLI3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Insulin Receptor,1/76,0.24393127980932583,0.30595799889979164,5.409664215115312,7.632326099746303,FGFR1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Interleukins,1/419,0.7880542788952973,0.7899041715687605,0.9635813475982061,0.22951381239437688,PTPN14
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by MET,2/79,0.0341732705050247,0.1556214550730993,8.871950221057803,29.954467600258326,LAMA4;TNS3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by NOTCH,2/163,0.12052882016298054,0.21216761512532548,4.244236299916707,8.98023690922931,TNRC6C;HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by NOTCH1,1/72,0.23270696523856207,0.2966145497219881,5.71314615033208,8.329625840241883,HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,1/56,0.18613613194826314,0.25556311363957673,7.36452532934945,12.381806910580362,HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by NOTCH1 PEST Domain Mutants in Cancer,1/56,0.18613613194826314,0.25556311363957673,7.36452532934945,12.381806910580362,HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by NOTCH1 in Cancer,1/56,0.18613613194826314,0.25556311363957673,7.36452532934945,12.381806910580362,HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by NTRK3 (TRKC),1/17,0.060567584183063565,0.17836109273219408,24.80721790772042,69.5593259790493,PTPRS
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by NTRKs,1/131,0.3827434531083978,0.4179832595327004,3.123375498180558,2.9996596862157037,PTPRS
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Non-Receptor Tyrosine Kinases,1/53,0.17709763410262688,0.25039963497291945,7.7862167982771,13.478362460655353,ELMO1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Nuclear Receptors,4/228,0.009992283979759231,0.12190586455306263,5.5965819264456425,25.77753223192473,ABCA1;ESR1;TNRC6C;STAG1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by PTK6,1/53,0.17709763410262688,0.25039963497291945,7.7862167982771,13.478362460655353,ELMO1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by ROBO Receptors,1/198,0.5181550752814809,0.5436172411429787,2.0586858342344634,1.3535462206564122,SLIT3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Receptor Tyrosine Kinases,11/516,3.113654057383952e-06,0.0013295302825029475,6.777265719543126,85.93378820245026,ESR1;SPRED2;TGFBR3;LAMA4;FGFR1;PTPRS;PTPRK;TNS3;ELMO1;VAV3;RBFOX2
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Rho GTPases,6/619,0.026532828364223184,0.15519887276059316,2.9771801140994296,10.805295652951868,ARHGAP24;DIAPH3;DLC1;VAV3;KALRN;STARD13
P4,Reactome_Pathways_2024,gs_ind_0,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",6/633,0.029160801495935963,0.1556214550730993,2.9092223697801387,10.283897100177263,ARHGAP24;DIAPH3;DLC1;VAV3;KALRN;STARD13
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by TGF-beta Receptor Complex,2/94,0.04680746789902277,0.16518007266845228,7.429139799698175,22.745890324911496,LTBP2;TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by TGFB Family Members,3/157,0.020166544325535336,0.1432303843266989,6.2764749813293506,24.5016653680791,LTBP2;TNRC6C;TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by TGFBR3,2/46,0.012409204536678386,0.1424165827096635,15.469970911994524,67.90260291624776,TNRC6C;TGFBR3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),1/51,0.1710168333182885,0.25008283502366163,8.09517886462013,14.296031530903484,FGFR1
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by VEGF,2/105,0.05698742040424429,0.17712745766275345,6.6368719193702645,19.014138492752263,ELMO1;VAV3
P4,Reactome_Pathways_2024,gs_ind_0,Signaling by WNT,4/257,0.014936919776789561,0.1432303843266989,4.9510071435141185,20.813634452576643,ROR1;LGR4;TNRC6C;PLCB1
